country,city,district,min_booking_duration,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,first_pic_category,was_published,clicks_count
1,155,1190,6,1,1,1000.0,30.0,850.0,1,16,60.0,ROOM_BEDROOM,1,379
1,595,611,3,2,2,4000.0,57.0,2000.0,2,7,150.0,ROOM_BEDROOM,0,0
2,1086,,1,1,1,1500.0,10.0,1889.0,2,11,110.0,ROOM_BEDROOM,1,5
1,118,128,1,2,4,200.0,120.0,2100.0,4,13,100.0,ROOM_BEDROOM,1,15
1,968,940,3,4,3,2960.0,107.0,2960.0,4,20,200.0,LIVING_DINING_ROOM,1,20
1,1317,1424,2,3,3,1500.0,70.0,1550.0,4,7,70.0,ROOM_BEDROOM,1,18
1,155,491,2,3,4,3000.0,94.0,4000.0,4,29,300.0,LIVING_DINING_ROOM,1,275
1,359,380,1,0,0,0.0,,,,,,,0,0
1,155,491,3,1,2,1000.0,50.0,2000.0,2,1,150.0,OUTDOOR_BUILDING,1,6
1,187,213,1,0,0,0.0,,,,,,,0,0
1,155,530,3,1,1,2000.0,24.0,1220.0,1,16,200.0,UNCATEGORIZED,1,2637
2,1086,,1,1,1,3100.0,40.0,3444.0,2,13,125.0,ROOM_BEDROOM,1,32
2,870,,1,2,1,500.0,26.0,2105.0,4,14,40.0,DETAILS,1,10
1,223,916,1,1,2,350.0,35.0,595.0,1,5,50.0,LIVING_DINING_ROOM,1,9
1,155,1068,3,5,4,6400.0,150.0,3200.0,4,38,200.0,ROOM_BEDROOM,1,134
